titre_poste,entreprise,ville_normalized,region,type_contrat_normalized,modalite_travail,is_remote,is_hybrid,niveau_etudes_normalized,experience_requise,experience_years_min,experience_years_max,langue,secteur_activite,sous_secteur,fonction,soft_skills,tech_stack,tech_count,soft_skills_count,nbr_postes,date_limite,date_annee,job_id,is_agile_driven,has_corp_perks,is_remote_friendly
Hybris Technical Lead,Atos Nearshore,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,Anglais,Internet / Multimédia- Informatique / Electronique- Secteur Informatique,,,Ambition | Autonomie | Communication | Implication | Recherche de nouveauté | Réflexion,Java | Javascript | Sql,3,6,1.0,25/08/2019,2019,AD7BD458E0,False,False,False
Consultant(e) Conduite du Changement / Change Manager,Atos Nearshore,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,Anglais,Informatique / Electronique- Secteur Informatique,,,Ambition | Autonomie | Communication | Implication | Management | Organisation | Recherche de nouveauté | Réflexion | Écoute,,0,9,1.0,25/08/2019,2019,8EC974E98A,False,False,False
Consultant RPA,Atos Nearshore,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Junior (1 à 3 ans),1,3,Anglais,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Autonomie | Communication | Implication | Recherche de nouveauté | Rigueur | Réflexion,Excel | Rpa | SQL Server | Sql | Vba,5,7,1.0,25/08/2019,2019,9AF86DF034,False,False,False
Consultant Java HYBRIS,Atos Nearshore,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,,Internet / Multimédia- Informatique / Electronique- Secteur Informatique,,,Ambition | Autonomie | Communication | Implication | Recherche de nouveauté | Rigueur | Réflexion,Java | Sap,2,7,2.0,25/08/2019,2019,A32CAE933A,False,False,False
Consultant CRM,Atos Nearshore,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,Anglais,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Analyse | Autonomie | Communication | Implication | Recherche de nouveauté | Réflexion,,0,7,2.0,25/08/2019,2019,3DF021E67E,False,False,False
Développeur Back-End Sénior (GOLANG/JAVA) - Freelance,Welink,Casablanca,Casablanca-Settat,Freelance,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Autonomie | Curiosité | Curiosité intellectuelle | Implication | Recherche de nouveauté | Rigueur | Réflexion,Go | Java,2,8,1.0,24/08/2019,2019,F0A101E727,False,False,False
Ingénieur Développement et Bases de Données,Disty Technologies,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,,Informatique / Electronique- Gestion projet / Etudes / R&D- Secteur Distribution,,,Ambition | Autonomie | Implication | Recherche de nouveauté,Sql,1,4,2.0,24/08/2019,2019,CE862B4DD9,False,False,False
Ingénieur Avant Vente - Systèmes et Réseaux,Disty Technologies,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac,Intermédiaire (3 à 5 ans),3,5,,Télécom / Réseaux- Informatique / Electronique- Secteur Informatique,,,Ambition | Autonomie | Implication | Recherche de nouveauté | Réflexion,,0,5,2.0,24/08/2019,2019,5BC1345052,False,False,False
Technicien Automaticien,Stellantis,Kénitra,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac,Confirmé (5 à 10 ans),5,10,,Production / Qualité / Sécurité / Maintenance- Secteur Automobile / Motos / Cycles,,,Fiabilité | Organisation,,0,2,1.0,24/08/2019,2019,44C0C016DD,False,False,False
Technicien Maintenance,Stellantis,Kénitra,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac,Confirmé (5 à 10 ans),5,10,,Automobile / Motos / Cycles,Production / Qualité / Sécurité / Maintenance,Production / Qualité / Sécurité / Maintenance,Communication | Fiabilité | Leadership | Organisation,,0,4,5.0,24/08/2019,2019,9EB39E78BA,False,False,False
Technicien Logistique,Stellantis,Kénitra,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac,Intermédiaire (3 à 5 ans),3,5,Français,Logistique / Transport (métiers de)- Secteur Automobile / Motos / Cycles,,,Analyse | Autonomie | Implication | Organisation | Rigueur | Travail en équipe,,0,6,1.0,24/08/2019,2019,4DA33F0001,False,True,False
Profils en Dot Net,Sqli Maroc,Oujda,Oriental,CDI,Télétravail,1,0,Bac+5,Junior (1 à 3 ans),1,3,,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Autonomie | Implication | Recherche de nouveauté | Réflexion,.NET | Javascript | SQL Server | Sql,4,5,4.0,24/08/2019,2019,5A55CC0D1C,False,False,False
Network Administrator,Alten Maroc,Fès,Fès-Meknès,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,,Télécom / Réseaux- Secteur Informatique,,,Ambition | Autonomie | Implication | Management | Organisation | Recherche de nouveauté | Réflexion,Firewall,1,7,1.0,25/08/2019,2019,4FCC45B656,False,False,False
PMO Junior,Atos Nearshore,Casablanca,Casablanca-Settat,Stage,Télétravail,1,0,Bac,Débutant (-1 an),1,1,Français | Anglais,Informatique / Electronique- Gestion / Comptabilité / Finance- Secteur Informatique,,,Ambition | Analyse | Autonomie | Flexibilité | Implication | Organisation | Rigueur | Réflexion,Excel | Vba,2,8,2.0,25/08/2019,2019,28890F0022,False,False,False
Ingénieur Développeur Confirmé Java/jee,Sqli Maroc,Oujda,Oriental,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Autonomie | Communication | Implication | Recherche de nouveauté | Réflexion,Angular | Git | Java | Jenkins | Mysql | Oracle | Rest | SQL Server | Soap | Spring | Sql,11,6,3.0,01/09/2019,2019,4FB2BDC1E7,False,False,False
Scrum Master,Atos Nearshore,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,Français | Anglais,Informatique / Electronique- Secteur Informatique,,,Ambition | Autonomie | Collaboration | Implication | Recherche de nouveauté | Réflexion,Scrum,1,6,1.0,25/08/2019,2019,7D2325BB46,True,False,False
Consultant Salesforce Senior,Atos Nearshore,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,,Informatique / Electronique- Secteur Informatique,,,Ambition | Autonomie | Implication | Recherche de nouveauté | Réflexion,Javascript | Salesforce,2,5,1.0,25/08/2019,2019,060CB4FDAB,False,False,False
Expert Technique Dot Net,Sqli Maroc,Oujda,Oriental,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Autonomie | Implication | Recherche de nouveauté | Réflexion,.NET | Javascript | SQL Server | Sql,4,5,5.0,24/08/2019,2019,B1A90A8F2C,False,False,False
Senior Customer Experience,Atos Nearshore,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,Français | Anglais,Informatique / Electronique- Secteur Informatique,,,Ambition | Autonomie | Implication | Recherche de nouveauté | Réflexion,Agile | Salesforce,2,5,1.0,25/08/2019,2019,D4ABB6FF77,True,False,False
Ingénieurs Développeurs Expérimentés .Net,Sqli Maroc,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Analyse | Autonomie | Implication | Recherche de nouveauté | Réflexion,.NET | Angular | Javascript | SQL Server | Sql | Ssas | Ssis | Ssrs,8,6,5.0,24/08/2019,2019,76AE04090B,False,False,False
Intégrateur devops,Sofrecom Maroc,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Analyse | Autonomie | Communication | Implication | Organisation | Recherche de nouveauté | Rigueur | Réflexion | Travail en équipe | Écoute,Ansible | CI/CD | Devops | Docker | Mariadb,5,11,1.0,24/08/2019,2019,E03DCE65E7,True,False,False
"Technicien Maintenance, Distribution Fluides, Energies et Bâtiments",Stellantis,Kénitra,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac,Confirmé (5 à 10 ans),5,10,,Automobile / Motos / Cycles,Production / Qualité / Sécurité / Maintenance,Production / Qualité / Sécurité / Maintenance,Autonomie | Communication | Fiabilité | Leadership | Organisation,,0,5,5.0,24/08/2019,2019,DBDC1356F5,False,False,False
Développeur Front end,Sofrecom Maroc,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Autonomie | Implication | Recherche de nouveauté | Réflexion,Angular | Java | Javascript | Php | Rest | Spring | Symfony,7,5,2.0,24/08/2019,2019,18075549AB,False,False,False
Développeur java jee Back End,Sofrecom Maroc,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Analyse | Autonomie | Communication | Implication | Recherche de nouveauté | Réflexion,Java | Rest | Spring,3,7,2.0,24/08/2019,2019,9905DA2A60,False,False,False
Développeur Terraform/Golang,Sofrecom Maroc,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,,Internet / Multimédia,Informatique / Electronique,Informatique / Electronique,Ambition | Autonomie | Implication | Recherche de nouveauté | Réflexion,Ansible | Aws | Azure | Devops | Docker | Gcp | Go | Kubernetes | Linux | Python | Scrum | Terraform,12,5,1.0,24/08/2019,2019,9C364AC1FD,True,False,False
Technicien Support Réseau et Telecom,Alten Maroc,Rabat,Rabat-Salé-Kénitra,Autre,Télétravail,1,0,Bac+2,Débutant (-1 an),1,1,Français,Télécom / Réseaux- Secteur Informatique,,,Ambition | Analyse | Autonomie | Collaboration | Communication | Implication | Recherche de nouveauté | Réflexion,Firewall,1,8,5.0,24/08/2019,2019,4DDA4BB35F,False,False,False
Développeur Confirmé C/C++,Capgemini,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,Français | Anglais,Informatique / Electronique- Télécom / Réseaux- Secteur Informatique,,,Ambition | Analyse | Autonomie | Fiabilité | Implication | Recherche de nouveauté | Rigoureux | Réflexion | Stress,Java | Rest | Soap | Sql,4,9,4.0,24/08/2019,2019,B75972DAF5,False,False,False
Ingénieur JAVA JEE,Capgemini,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,Anglais,Internet / Multimédia- Informatique / Electronique- Secteur Internet / Multimédia,,,Ambition | Analyse | Autonomie | Gestion de projet | Implication | Recherche de nouveauté | Réflexion,Java | Php,2,7,10.0,24/08/2019,2019,3D6AA91AE0,False,False,False
Ingénieur Réseaux et Sécurité H/F,Akkodis Maroc,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,Anglais,Informatique,Télécom / Réseaux,Télécom / Réseaux,Ambition | Analyse | Autonomie | Communication | Implication | Management | Recherche de nouveauté | Réflexion,Firewall,1,8,5.0,24/08/2019,2019,F927741E5F,False,False,False
Développeur Drupal 7/8 (H/F),Capgemini,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,Français,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Analyse | Autonomie | Communication | Implication | Recherche de nouveauté | Réflexion,Javascript | Php,2,7,1.0,24/08/2019,2019,F722C386F3,False,False,False
Développeur J2EE (H/F),Akkodis Maroc,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,Anglais,Informatique / Electronique- Secteur Informatique,,,Ambition | Autonomie | Implication | Organisé | Recherche de nouveauté | Rigueur | Réflexion,Agile | Angular | Java | Jenkins | Rest | Scrum | Soap | Spring,8,7,5.0,24/08/2019,2019,4368151319,True,False,False
Consultant AMOA /Business Analyst BI (H/F),Akkodis Maroc,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Autonomie | Communication | Esprit analytique | Gestion de projet | Implication | Recherche de nouveauté | Réflexion,Agile | Jira | Scrum | Tableau,4,8,5.0,24/08/2019,2019,FEABECAEBE,True,False,False
Experts Techniques Java J2EE,Sqli Maroc,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Autonomie | Communication | Esprit d'équipe | Implication | Organisé | Recherche de nouveauté | Rigoureux | Réflexion,Java | Oracle | Rest | Soap | Spring,5,9,3.0,24/08/2019,2019,A9AAC7A829,False,False,False
Ingénieur DevOps H/F,Akkodis Maroc,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Autonomie | Implication | Recherche de nouveauté | Réflexion,Agile | Apache | Devops | Docker | Elasticsearch | Git | Jenkins | Linux | Php | Redis | Scrum,11,5,5.0,24/08/2019,2019,B2CD3F5CB8,True,False,False
Concepteur/Développeur .NET (H/F),Akkodis Maroc,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Débutant (-1 an),1,1,Anglais,Informatique / Electronique- Secteur Informatique,,,Ambition | Analyse | Autonomie | Implication | Organisé | Recherche de nouveauté | Réflexion | Stress,SQL Server | Sql,2,8,10.0,24/08/2019,2019,FD16A8CA16,False,False,False
Data Engineer H/F,Akkodis Maroc,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Junior (1 à 3 ans),1,3,,Communication / Evénementiel,Informatique / Electronique,Informatique / Electronique,Ambition | Analyse | Autonomie | Implication | Intégrité | Recherche de nouveauté | Réflexion,Big Data | Cybersécurité | Data Science | Hadoop | Python | Scala | Spark | Sql,8,7,10.0,24/08/2019,2019,229EC22EFB,False,False,False
Ingénieurs D'études Confirmés Java/J2EE - Tétouan Shore,Ntt Data Tetouan Shore Cabo Negro Region Nord,Cabo Negro (Région Nord),,CDI,Télétravail,1,0,Bac,Intermédiaire (3 à 5 ans),3,5,,Informatique / Electronique- Internet / Multimédia- Secteur Offshoring / Nearshoring,,,Ambition | Analyse | Autonomie | Gestion de projet | Implication | Organisé | Recherche de nouveauté | Réflexion | Travail en équipe,Java,1,9,5.0,24/08/2019,2019,E7290C9A56,False,False,False
Consultant fonctionnel - Informatique - Rabat,Cgi Technologies Et Solutions Maroc Rabat,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,Anglais,Informatique,Internet / Multimédia,Internet / Multimédia,Ambition | Autonomie | Communication | Implication | Planification | Recherche de nouveauté | Réflexion,,0,7,5.0,24/08/2019,2019,2295875370,False,False,False
Développeur C# Confirmés H/f,Akkodis Maroc,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,Anglais,Informatique / Electronique- Secteur Informatique,,,Ambition | Autonomie | Implication | Recherche de nouveauté | Réflexion,Angular | Javascript | React | SQL Server | Sql,5,5,10.0,24/08/2019,2019,8F38009FE5,False,False,False
Consultant PHP/Talend,Atos,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Analyse | Autonomie | Implication | Organisation | Recherche de nouveauté | Réflexion,Agile | Android | Excel | Java | Mysql | Oracle | Php,7,7,1.0,24/08/2019,2019,6BD5831022,True,False,False
Consultant Technique Salesforce,Atos,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac,Confirmé (5 à 10 ans),5,10,Anglais,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Autonomie | Implication | Management | Recherche de nouveauté | Rigoureux | Réflexion,Javascript | Rest | Salesforce | Soap,4,7,10.0,24/08/2019,2019,8D82DF362E,False,False,False
Service Delivery Manager SAP ABAP,Ntt Data Tetouan Shore Cabo Negro Region Nord,Tétouan,Tanger-Tétouan-Al Hoceïma,CDI,Télétravail,1,0,Bac,Expert (10 à 20 ans),10,20,,Informatique / Electronique- Internet / Multimédia- Secteur Offshoring / Nearshoring,,,Ambition | Analyse | Autonomie | Gestion de projet | Implication | Leadership | Organisé | Recherche de nouveauté | Réflexion,Sap,1,9,1.0,24/08/2019,2019,08491A5AE4,False,False,False
Service Delivery Manager JAVA/J2EE,Ntt Data Tetouan Shore Cabo Negro Region Nord,Tétouan,Tanger-Tétouan-Al Hoceïma,CDI,Télétravail,1,0,Bac,Expert (10 à 20 ans),10,20,,Informatique / Electronique- Internet / Multimédia- Secteur Offshoring / Nearshoring,,,Ambition | Analyse | Autonomie | Gestion de projet | Implication | Leadership | Organisé | Recherche de nouveauté | Réflexion,Java,1,9,1.0,24/08/2019,2019,FBF92F47F1,False,False,False
Expert Test – Assurance,Dxc Cdg,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,Français | Anglais,Internet / Multimédia- Assurance (métiers de l')- Secteur Informatique,,,Ambition | Analyse | Autonomie | Implication | Organisation | Persuasion | Planification | Recherche de nouveauté | Réflexion | Travail en équipe,,0,10,5.0,24/08/2019,2019,38728BE13E,False,False,False
Consultant SAP ABAP (H/F),Atos,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac,Confirmé (5 à 10 ans),5,10,,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Autonomie | Implication | Recherche de nouveauté | Réflexion,Sap,1,5,3.0,24/08/2019,2019,163D2499BD,False,False,False
Android Developer - Tétouan Shore,Ntt Data Tetouan Shore Cabo Negro Region Nord,Cabo Negro (Région Nord),,CDI,Télétravail,1,0,Bac,Junior (1 à 3 ans),1,3,,Informatique / Electronique- Internet / Multimédia- Secteur Offshoring / Nearshoring,,,Ambition | Autonomie | Gestion de projet | Implication | Organisé | Recherche de nouveauté | Réflexion | Travail en équipe,Agile | Android | Api | Git | Kotlin | Rest,6,8,2.0,24/08/2019,2019,C65F536CBD,True,False,False
Expert Software Developer – Assurance,Dxc Cdg,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,Français | Anglais,Informatique / Electronique- Assurance (métiers de l')- Secteur Informatique,,,Ambition | Analyse | Autonomie | Implication | Organisation | Persuasion | Recherche de nouveauté | Réflexion | Travail en équipe,Oracle,1,9,5.0,24/08/2019,2019,BFA188981E,False,False,False
Consultant Technique SAP ABAP - Tétouan Shore,Ntt Data Tetouan Shore Cabo Negro Region Nord,Cabo Negro (Région Nord),,CDI,Télétravail,1,0,Bac,Intermédiaire (3 à 5 ans),3,5,,Informatique / Electronique- Internet / Multimédia- Secteur Offshoring / Nearshoring,,,Ambition | Analyse | Autonomie | Gestion de projet | Implication | Organisé | Recherche de nouveauté | Réflexion | Travail en équipe,Sap,1,9,6.0,24/08/2019,2019,0A2263519D,False,False,False
Business Analyst Senior,Dxc Cdg,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,Anglais,Internet / Multimédia- Assurance (métiers de l')- Secteur Informatique,,,Adaptabilité | Ambition | Analyse | Autonomie | Collaboration | Implication | Organisation | Persuasion | Polyvalence | Recherche de nouveauté | Rigueur | Réflexion | Écoute,,0,13,2.0,24/08/2019,2019,6C1216505F,False,False,False
Développeur Sénior,Dxc Cdg,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,,Informatique / Electronique- Assurance (métiers de l')- Secteur Informatique,,,Ambition | Autonomie | Créativité | Implication | Organisation | Persuasion | Recherche de nouveauté | Réflexion,,0,8,5.0,24/08/2019,2019,92DCC36E02,False,False,False
Développeur Junior,Dxc Cdg,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Débutant (-1 an),1,1,,Informatique / Electronique- Assurance (métiers de l')- Secteur Informatique,,,Ambition | Autonomie | Créativité | Implication | Organisation | Persuasion | Recherche de nouveauté | Réflexion,,0,8,10.0,24/08/2019,2019,3279B23E5A,False,False,False
Jasper Report Consultant/ Expert,Dxc Cdg,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,Anglais,Informatique / Electronique- Secteur Informatique,,,Ambition | Autonomie | Implication | Management | Recherche de nouveauté | Réflexion,Java | PL/SQL | Sql,3,6,2.0,24/08/2019,2019,B26E834302,False,False,False
"Expert/Consultant Java C pro C LIFERAY, DEVOPS, APEX, PLSQL, C#, .net, React JS, Angular, C++,Jasper Peport (Casablanca et rabat)",Midstep,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac,Confirmé (5 à 10 ans),5,10,Anglais,Gestion projet / Etudes / R&D- Informatique / Electronique- Secteur Informatique,,,Ambition | Autonomie | Collaboration | Implication | Organisation | Proactif | Recherche de nouveauté | Rigoureux,Angular | Devops | Go | Java | PL/SQL | React | Sap,7,8,2.0,24/08/2019,2019,80ACFDB89F,False,False,False
Consultant Testing Confirmé et Senior Anglophone - Salé,Dxc Cdg Sale,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac,Intermédiaire (3 à 5 ans),3,5,Français | Anglais,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Analyse | Autonomie | Implication | Recherche de nouveauté | Réflexion | Travail en équipe,,0,7,4.0,24/08/2019,2019,8AB3277FE7,False,False,False
Consultant Technique SAP ABAP,Ntt Data,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac,Intermédiaire (3 à 5 ans),3,5,,Informatique / Electronique- Internet / Multimédia- Secteur Offshoring / Nearshoring,,,Ambition | Analyse | Autonomie | Gestion de projet | Implication | Organisé | Recherche de nouveauté | Réflexion | Travail en équipe,Sap,1,9,6.0,24/08/2019,2019,51EE776926,False,False,False
Team Lead SAP ABAP,Ntt Data,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac,Confirmé (5 à 10 ans),5,10,Français | Anglais,Informatique / Electronique- Internet / Multimédia- Secteur Offshoring / Nearshoring,,,Ambition | Analyse | Autonomie | Communication | Gestion de projet | Implication | Leadership | Organisé | Recherche de nouveauté | Réflexion,Sap,1,10,2.0,24/08/2019,2019,539A469F84,False,False,False
Expert technique Technique JAVA JEE (H/F),Cgi Technologies Et Solutions Maroc,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Autonomie | Communication | Créativité | Esprit d'équipe | Implication | Organisé | Recherche de nouveauté | Rigoureux | Réflexion,Java | Spring,2,10,1.0,22/08/2019,2019,9D19EA9C67,False,False,False
Ingénieur études et développement Confirmé JAVA JEE ( H/F),Cgi Technologies Et Solutions Maroc,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Junior (1 à 3 ans),1,3,,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Autonomie | Implication | Recherche de nouveauté | Réflexion,Java,1,5,2.0,22/08/2019,2019,B6A31FB26E,False,False,False
Techniciens Support Niveau 2,Alten Maroc,Fès,Fès-Meknès,Autre,Télétravail,1,0,Bac+2,Débutant (-1 an),1,1,Français,Télécom / Réseaux- Secteur Informatique,,,Ambition | Analyse | Autonomie | Collaboration | Communication | Implication | Recherche de nouveauté | Réflexion,Firewall,1,8,10.0,21/08/2019,2019,497196C2A4,False,False,False
Team Lead JAVA/J2EE,Ntt Data Tetouan Shore Cabo Negro Region Nord,Tétouan,Tanger-Tétouan-Al Hoceïma,CDI,Télétravail,1,0,Bac,Confirmé (5 à 10 ans),5,10,Français | Anglais,Informatique / Electronique- Internet / Multimédia- Secteur Offshoring / Nearshoring,,,Ambition | Analyse | Autonomie | Communication | Gestion de projet | Implication | Leadership | Organisé | Recherche de nouveauté | Réflexion,Java,1,10,4.0,24/08/2019,2019,33B13A625A,False,False,False
Techniciens Support FAI et Réseaux,Alten Maroc,Rabat,Rabat-Salé-Kénitra,Autre,Télétravail,1,0,Bac+2,Débutant (-1 an),1,1,Français,Télécom / Réseaux- Informatique / Electronique- Secteur Informatique,,,Ambition | Analyse | Autonomie | Collaboration | Communication | Implication | Recherche de nouveauté | Réflexion,Firewall,1,8,10.0,21/08/2019,2019,D54A4F3CA2,False,False,False
Ingénieurs Développeurs PHP (H/F),Oceane Consulting It Maroc,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,,Informatique / Electronique- Secteur Informatique,,,Ambition | Analyse | Autonomie | Esprit d'analyse | Implication | Recherche de nouveauté | Réflexion | Travail en équipe,Agile | Azure | Devops | Javascript | Mysql | Php | Scrum,7,8,3.0,21/08/2019,2019,3AFC4AA6D0,True,False,False
Consultant Testing Confirmé et Senior Anglophone - Salé,Dxc Cdg Sale,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac,Intermédiaire (3 à 5 ans),3,5,Français | Anglais,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Analyse | Autonomie | Implication | Recherche de nouveauté | Réflexion | Travail en équipe,,0,7,4.0,21/08/2019,2019,EC6AB4FCA8,False,False,False
Technicien Automaticien,Stellantis,Kénitra,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac,Confirmé (5 à 10 ans),5,10,,Production / Qualité / Sécurité / Maintenance- Secteur Automobile / Motos / Cycles,,,Fiabilité | Organisation,,0,2,1.0,21/08/2019,2019,53D9DAC98A,False,False,False
Technicien Maintenance,Stellantis,Kénitra,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac,Confirmé (5 à 10 ans),5,10,,Automobile / Motos / Cycles,Production / Qualité / Sécurité / Maintenance,Production / Qualité / Sécurité / Maintenance,Communication | Fiabilité | Leadership | Organisation,,0,4,5.0,21/08/2019,2019,44768E772E,False,False,False
Technicien Logistique,Stellantis,Kénitra,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac,Intermédiaire (3 à 5 ans),3,5,Français,Logistique / Transport (métiers de)- Secteur Automobile / Motos / Cycles,,,Analyse | Autonomie | Implication | Organisation | Rigueur | Travail en équipe,,0,6,1.0,21/08/2019,2019,FA2EA25E74,False,True,False
"Technicien Maintenance, Distribution Fluides, Energies et Bâtiments",Stellantis,Kénitra,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac,Confirmé (5 à 10 ans),5,10,,Automobile / Motos / Cycles,Production / Qualité / Sécurité / Maintenance,Production / Qualité / Sécurité / Maintenance,Autonomie | Communication | Fiabilité | Leadership | Organisation,,0,5,5.0,21/08/2019,2019,9F79450E9B,False,False,False
